ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Default
1,67,male,2,own,,little,1169,6,radio/TV,1
2,22,female,2,own,little,moderate,5951,48,radio/TV,0
3,49,male,1,own,little,,2096,12,education,1
4,45,male,2,free,little,little,7882,42,furniture/equipment,1
5,53,male,2,free,little,little,4870,24,car,0
6,35,male,1,free,,,9055,36,education,1
7,53,male,2,own,quite rich,,2835,24,furniture/equipment,1
8,35,male,3,rent,little,moderate,6948,36,car,1
9,61,male,1,own,rich,,3059,12,radio/TV,1
10,28,male,3,own,little,moderate,5234,30,car,0
11,25,female,2,rent,little,moderate,1295,12,car,0
12,24,female,2,rent,little,little,4308,48,business,0
13,22,female,2,own,little,moderate,1567,12,radio/TV,1
14,60,male,1,own,little,little,1199,24,car,0
15,28,female,2,rent,little,little,1403,15,car,1
16,32,female,1,own,moderate,little,1282,24,radio/TV,0
17,53,male,2,own,,,2424,24,radio/TV,1
18,25,male,2,own,,little,8072,30,business,1
19,44,female,3,free,little,moderate,12579,24,car,0
20,31,male,2,own,quite rich,,3430,24,radio/TV,1
21,48,male,2,own,little,,2134,9,car,1
22,44,male,2,rent,quite rich,little,2647,6,radio/TV,1
23,48,male,1,rent,little,little,2241,10,car,1
24,44,male,2,own,moderate,moderate,1804,12,car,1
25,26,male,2,own,,,2069,10,furniture/equipment,1
26,36,male,1,own,little,little,1374,6,furniture/equipment,1
27,39,male,1,own,little,,426,6,radio/TV,1
28,42,female,2,rent,rich,rich,409,12,radio/TV,1
29,34,male,2,own,little,moderate,2415,7,radio/TV,1
30,63,male,2,own,little,little,6836,60,business,0
31,36,male,2,own,rich,moderate,1913,18,business,1
32,27,male,2,own,little,little,4020,24,furniture/equipment,1
33,30,male,2,own,moderate,moderate,5866,18,car,1
34,57,male,1,rent,,,1264,12,business,1
35,33,female,3,own,little,rich,1474,12,furniture/equipment,1
36,25,male,1,own,little,moderate,4746,45,radio/TV,0
37,31,male,2,free,little,,6110,48,education,1
38,37,male,2,own,little,rich,2100,18,radio/TV,0
39,37,male,2,own,little,rich,1225,10,domestic appliances,1
40,24,male,2,own,little,moderate,458,9,radio/TV,1
41,30,male,3,own,quite rich,,2333,30,radio/TV,1
