tanggal,katulampa,depok,manggarai
2022-06-18T11:30:00Z,20,96,630
2022-06-18T11:40:00Z,26,98,658
2022-06-18T11:50:00Z,26,98,630
2022-06-18T12:00:00Z,26,98,659
2022-06-18T12:10:00Z,26,98,630
2022-06-18T12:20:00Z,26,98,600
2022-06-18T12:30:00Z,26,98,629
2022-06-18T12:40:00Z,26,98,629
2022-06-18T12:50:00Z,26,98,629
2022-06-18T13:00:00Z,26,98,680
2022-06-18T13:10:00Z,26,98,629
2022-06-18T13:20:00Z,26,98,629
2022-06-18T13:30:00Z,26,98,628
2022-06-18T13:40:00Z,26,98,628
2022-06-18T13:50:00Z,26,98,628
2022-06-18T14:00:00Z,26,98,605
2022-06-18T14:10:00Z,26,98,628
2022-06-18T14:20:00Z,26,98,628
2022-06-18T14:30:00Z,26,98,628
2022-06-18T14:40:00Z,26,98,628
2022-06-18T14:50:00Z,26,98,628
2022-06-18T15:00:00Z,26,98,628
2022-06-18T15:10:00Z,21,98,628
2022-06-18T15:20:00Z,26,98,628
2022-06-18T15:30:00Z,26,98,628
2022-06-18T15:40:00Z,26,98,583
2022-06-18T15:50:00Z,26,98,628
2022-06-18T16:00:00Z,26,98,628
2022-06-18T16:10:00Z,26,98,628
2022-06-18T16:20:00Z,26,98,628
2022-06-18T16:30:00Z,26,98,628
2022-06-18T16:40:00Z,26,98,628
2022-06-18T16:50:00Z,26,98,593
2022-06-18T17:00:00Z,26,98,628
2022-06-18T17:10:00Z,26,98,628
2022-06-18T17:20:00Z,26,99,628
2022-06-18T17:30:00Z,26,98,668
2022-06-18T17:40:00Z,26,98,663
2022-06-18T17:50:00Z,26,98,628
2022-06-18T18:00:00Z,26,98,586
2022-06-18T18:10:00Z,26,98,628
2022-06-18T18:20:00Z,27,97,623
2022-06-18T18:30:00Z,27,97,628
2022-06-18T18:40:00Z,28,97,628
2022-06-18T18:50:00Z,28,97,611
2022-06-18T19:00:00Z,27,97,628
2022-06-18T19:10:00Z,27,97,628
2022-06-18T19:20:00Z,27,97,628
2022-06-18T19:30:00Z,27,97,628
2022-06-18T19:40:00Z,15,137,628
2022-06-18T19:50:00Z,28,97,602
2022-06-18T20:00:00Z,30,115,582
2022-06-18T20:10:00Z,28,97,628
2022-06-18T20:20:00Z,34,104,622
2022-06-18T20:30:00Z,28,97,628
2022-06-18T20:40:00Z,28,97,636
2022-06-18T20:50:00Z,28,96,627
2022-06-18T21:00:00Z,28,96,627
2022-06-18T21:10:00Z,28,97,817
2022-06-18T21:20:00Z,28,97,627
2022-06-18T21:30:00Z,29,97,627
2022-06-18T21:40:00Z,29,97,626
2022-06-18T21:50:00Z,29,97,626
2022-06-18T22:00:00Z,29,97,626
2022-06-18T22:10:00Z,29,97,639
2022-06-18T22:20:00Z,29,97,626
2022-06-18T22:30:00Z,29,97,626
2022-06-18T22:40:00Z,29,97,626
2022-06-18T22:50:00Z,28,97,626
2022-06-18T23:00:00Z,28,97,626
2022-06-18T23:10:00Z,28,96,625
2022-06-18T23:20:00Z,28,96,625
2022-06-18T23:30:00Z,28,97,625
2022-06-18T23:40:00Z,28,97,625
2022-06-18T23:50:00Z,27,97,625
2022-06-19T00:00:00Z,27,97,625
2022-06-19T00:10:00Z,27,97,625
2022-06-19T00:20:00Z,27,97,625
2022-06-19T00:30:00Z,27,97,625
