datetime,tma_manggarai,tma_katulampa,tma_depok
2022-11-17T16:10:00Z,662,25,131
2022-11-17T16:20:00Z,662,24,130
2022-11-17T16:30:00Z,662,24,130
2022-11-17T16:50:00Z,662,24,130
2022-11-17T17:00:00Z,662,23,129
2022-11-17T17:20:00Z,663,23,129
2022-11-17T17:40:00Z,663,22,128
2022-11-17T17:50:00Z,663,22,128
2022-11-17T18:00:00Z,665,21,128
2022-11-17T18:10:00Z,664,21,128
2022-11-17T18:20:00Z,664,21,128
2022-11-17T18:30:00Z,664,20,128
2022-11-17T18:40:00Z,665,20,128
2022-11-17T18:50:00Z,665,20,128
2022-11-17T19:00:00Z,666,20,127
2022-11-17T19:10:00Z,666,20,127
2022-11-17T19:20:00Z,666,19,127
2022-11-17T19:30:00Z,666,19,127
2022-11-17T19:40:00Z,666,19,127
2022-11-17T19:50:00Z,666,18,126
2022-11-17T20:00:00Z,666,19,126
2022-11-17T20:10:00Z,666,19,125
2022-11-17T20:20:00Z,666,18,125
2022-11-17T20:30:00Z,666,18,125
2022-11-17T20:40:00Z,666,18,125
2022-11-17T20:50:00Z,666,18,125
2022-11-17T21:00:00Z,667,18,124
2022-11-17T21:20:00Z,667,18,123
2022-11-17T21:30:00Z,667,17,123
2022-11-17T21:40:00Z,667,18,123
2022-11-17T21:50:00Z,668,18,122
2022-11-17T22:00:00Z,668,18,122
2022-11-17T22:10:00Z,668,17,122
2022-11-17T22:20:00Z,668,17,122
2022-11-17T22:30:00Z,668,17,121
2022-11-17T22:40:00Z,668,18,121
2022-11-17T22:50:00Z,668,18,121
2022-11-17T23:00:00Z,668,17,121
2022-11-17T23:10:00Z,668,17,120
2022-11-17T23:20:00Z,668,17,120
2022-11-17T23:40:00Z,667,17,119
2022-11-17T23:50:00Z,667,17,119
2022-11-18T00:00:00Z,666,17,119
2022-11-18T00:10:00Z,665,17,119
2022-11-18T00:30:00Z,664,16,118
2022-11-18T00:40:00Z,664,16,118
2022-11-18T00:50:00Z,662,16,118
2022-11-18T01:00:00Z,661,16,118
2022-11-18T01:10:00Z,661,16,118
2022-11-18T01:20:00Z,661,16,118
2022-11-18T01:30:00Z,659,17,118
2022-11-18T01:40:00Z,659,16,118
2022-11-18T01:50:00Z,658,16,118
2022-11-18T02:00:00Z,657,16,119
2022-11-18T02:10:00Z,656,16,119
